nome,preco,categoria,descricao,personalizacao,estoque,emoji,imagem_url
Fone de Ouvido Circo na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Circo embalado em caixinha. Perfeito para festas de circo.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4637761/fone-de-ouvido-circo-na-caixinha-fone-circo.jpg
Fone de Ouvido Unicórnio na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Unicórnio embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/46376A1/fone-de-ouvido-unicornio-na-caixinha-fone-de-ouvido-personalizado-unicornio.jpg
Fone de Ouvido Cactos na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Cactos embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4637574/fone-de-ouvido-cactos-na-caixinha-kit-cacto.jpg
Fone de Ouvido de Natal Presente na Caixinha,12.50,Fones de Ouvido,Fone de ouvido natalino embalado em caixinha. Brinde especial para o Natal.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635FFF/fone-de-ouvido-de-natal-presente-na-caixinha-brinde-natal.jpg
Fone de Ouvido Hello Kitty na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Hello Kitty embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635F7D/fone-de-ouvido-hello-kitty-na-caixinha-hello-kitty.jpg
Fone de Ouvido Now United na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Now United embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635F17/fone-de-ouvido-now-united-na-caixinha-fone-teen.jpg
Fone de Ouvido Rock na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Rock embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635EA1/fone-de-ouvido-rock-na-caixinha-kit-rock-n-roll.jpg
Fone de Ouvido Pajen Daminha Casamento,12.50,Casamento,Fone de ouvido especial para pajens e daminhas de casamento.,Nome da criança,100,🎧,https://img.elo7.com.br/product/main/4635E51/fone-de-ouvido-pajen-daminha-casamento-convite-pajen.jpg
Fone de Ouvido Personalizado Unicórnio na Caixinha,12.50,Fones de Ouvido,Fone de ouvido personalizado temático Unicórnio embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635DD7/fone-de-ouvido-personalizado-unicornio-na-caixinha-fone-adulto.jpg
Headphone Fone de Ouvido Harry Potter com Caixa,25.60,Headphones,Headphone personalizado Harry Potter. Fone P2 dobrável confortável. Para maiores de 6 anos. Acompanha caixinha personalizada.,Nome ou mensagem,50,🎧,https://d2cp7y84leain9.cloudfront.net/997/products/177881845622598.jpg|https://d2cp7y84leain9.cloudfront.net/997/products/177881845620643.jpg|https://d2cp7y84leain9.cloudfront.net/997/products/177881845675825.jpg
Headphone Fone de Ouvido Sonic com Caixa,25.50,Headphones,Headphone personalizado Sonic com caixinha. Fone P2 dobrável. Para maiores de 6 anos.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/3EC9836/headphone-fone-de-ouvido-sonic-com-caixa-personalizado-sonic.jpg
Headphone Fone de Ouvido Unicórnio com Caixa,25.60,Headphones,Headphone personalizado Unicórnio com caixinha. Fone P2 dobrável. Para maiores de 6 anos.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/3EC8DC7/headphone-fone-de-ouvido-unicornio-com-caixa-personalizados-unicornio.jpg
Headphone Fone de Ouvido Videogame com Caixa,25.50,Headphones,Headphone personalizado Videogame com caixinha. Fone P2 dobrável. Para maiores de 6 anos.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/55DA6C5/headphone-fone-de-ouvido-videogame-com-caixa-festa-sonic.jpg
Headphone Fone de Ouvido Universo com Caixa,25.50,Headphones,Headphone personalizado Universo com caixinha. Fone P2 dobrável. Para maiores de 6 anos.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/4D7CE9B/headphone-fone-de-ouvido-universo-com-caixa-fone-personalizado.jpg
Headphone Fone de Ouvido Authentic Game com Caixa,25.50,Headphones,Headphone personalizado Authentic Game com caixinha. Fone P2 dobrável. Para gamers.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/3EC988B/headphone-fone-de-ouvido-authentic-game-com-caixa-lembrancinha-authentic-games.jpg
Kit Personalizado Presente Dia dos Professores,27.80,Kits,Kit personalizado especial para o Dia dos Professores com itens personalizados.,Nome do professor,30,🎁,https://img.elo7.com.br/product/main/443A55C/kit-personalizado-presente-dia-dos-professores-kit-dia-dos-professores.jpg
Convite Digital Astronauta Viagem ao Espaço,16.50,Convites Digitais,Convite digital interativo temático Astronauta. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F12487/convite-digital-astronauta-viagem-ao-espaco-festa-viagem-espacial.jpg
Convite Digital Pool Party Menina,16.50,Convites Digitais,Convite digital interativo Pool Party para meninas. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E42B/convite-digital-pool-party-menina.jpg
Convite Digital Safari Menina,16.50,Convites Digitais,Convite digital interativo Safari para meninas. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E431/convite-digital-safari-menina.jpg
Convite Digital Circo Rosa Menina,16.50,Convites Digitais,Convite digital interativo Circo Rosa para meninas. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F26A65/convite-digital-circo-rosa-menina-convite-de-celular.jpg
Convite Digital Piquenique Menina,16.50,Convites Digitais,Convite digital interativo Piquenique para meninas. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F170E6/convite-digital-piquenique-menina-convite-online.jpg
Convite Digital Aventura Safari Menino,16.50,Convites Digitais,Convite digital interativo Safari para meninos. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F127A6/convite-digital-aventura-safari-menino-convite-interativo.jpg
Convite Digital Obras e Tratores Caminhão,16.50,Convites Digitais,Convite digital interativo Obras e Tratores para meninos. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E442/convite-digital-obras-e-tratores-caminhao-menino-obras-e-tratores.jpg
Convite Digital 3 Palavrinhas,16.50,Convites Digitais,Convite digital interativo 3 Palavrinhas. Enviado por WhatsApp em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E432/convite-digital-3-palavrinhas.jpg
Ring Light Led Personalizado Luz Selfie Blogueira,19.70,Ring Light,Ring light led personalizado para celular. 3 níveis de luz Led recarregável. Personalizado com sua arte embalado em saquinho com lapela.,Nome ou logo,50,💡,https://img.elo7.com.br/product/main/3EB6E89/ring-light-led-personalizado-luz-selfie-blogueira-brinde-personalizado.jpg
Ring Light Led Personalizado Luz Selfie Brinde Empresa,19.50,Ring Light,Ring light led personalizado para celular. Ideal para brindes empresariais. 3 níveis de luz Led recarregável.,Logo da empresa,50,💡,https://img.elo7.com.br/product/main/3EB6F0E/ring-light-led-personalizado-luz-selfie-brinde-empresa-brinde-empresa-ring-light.jpg
Ring Light Led Personalizado Luz Selfie Tiktok Blogueira,19.70,Ring Light,Ring light led personalizado para celular. Perfeito para criadores de conteúdo. 3 níveis de luz Led recarregável.,Nome ou tema,50,💡,https://img.elo7.com.br/product/main/3F22ECA/ring-light-led-personalizado-luz-selfie-tiktok-blogueira-brinde-personalizado.jpg
Fone de Ouvido Personalizado Dia dos Professores,12.60,Fones de Ouvido,Fone de ouvido personalizado especial para o Dia dos Professores. Embalado em caixinha temática. Todos os produtos são testados antes do envio.,Nome do professor,100,🎧,https://img.elo7.com.br/product/main/443A485/fone-de-ouvido-personalizado-dia-dos-professores-lembrancinha-professor.jpg
Fone de Ouvido Dia dos Professores Presente,12.60,Fones de Ouvido,Fone de ouvido temático Dia dos Professores na caixinha corujinha. Lembrancinha especial para professores.,Nome do professor,100,🎧,https://img.elo7.com.br/product/main/443A44C/fone-de-ouvido-dia-dos-professores-presente-caixa-corujinha.jpg
Fone de Ouvido Dia dos Professores Presente Musical,12.50,Fones de Ouvido,Fone de ouvido temático Dia dos Professores com caixa musical. Presente especial para professores.,Nome do professor,100,🎧,https://img.elo7.com.br/product/main/443A4B9/fone-de-ouvido-dia-dos-professores-presente-fone-musica-dia-dos-professores.jpg
Fone de Ouvido Paris na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Paris embalado em caixinha personalizada. Presente delicado e charmoso.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/46378DB/fone-de-ouvido-paris-na-caixinha-fone-de-ouvido-paris.jpg
Fone de Ouvido Paris Fundo do Mar Aquarela na Caixinha,12.50,Fones de Ouvido,Fone de ouvido Paris Fundo do Mar em aquarela embalado em caixinha. Design exclusivo e delicado.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/55DEB49/fone-de-ouvido-paris-fundo-do-mar-aquarela-na-caixinha-paris.jpg
Fone de Ouvido Flamingo Verão na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Flamingo Verão embalado em caixinha. Design tropical e divertido.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4637828/fone-de-ouvido-flamingo-verao-na-caixinha-headphone.jpg
Fone de Ouvido Circo na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Circo embalado em caixinha. Perfeito para festas de circo.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4637761/fone-de-ouvido-circo-na-caixinha-fone-circo.jpg
Fone de Ouvido Unicórnio na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Unicórnio embalado em caixinha. Mágico e encantador para festas infantis.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/46376A1/fone-de-ouvido-unicornio-na-caixinha-fone-de-ouvido-personalizado-unicornio.jpg
Fone de Ouvido Cactos na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Cactos embalado em caixinha. Tendência e estilo para presentear.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4637574/fone-de-ouvido-cactos-na-caixinha-kit-cacto.jpg
Fone de Ouvido de Natal Presente na Caixinha,12.50,Fones de Ouvido,Fone de ouvido natalino embalado em caixinha. Brinde especial para o Natal.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635FFF/fone-de-ouvido-de-natal-presente-na-caixinha-brinde-natal.jpg
Fone de Ouvido Hello Kitty na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Hello Kitty embalado em caixinha. Para as fãs da gatinha mais famosa do mundo.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635F7D/fone-de-ouvido-hello-kitty-na-caixinha-hello-kitty.jpg
Fone de Ouvido Now United na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Now United embalado em caixinha. Para os fãs do grupo.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635F17/fone-de-ouvido-now-united-na-caixinha-fone-teen.jpg
Fone de Ouvido Rock na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Rock embalado em caixinha. Para os amantes do rock.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635EA1/fone-de-ouvido-rock-na-caixinha-kit-rock-n-roll.jpg
Fone de Ouvido Pajen Daminha Casamento,12.50,Casamento,Fone de ouvido especial para pajens e daminhas de casamento. Lembrancinha delicada e especial.,Nome da criança,100,🎧,https://img.elo7.com.br/product/main/4635E51/fone-de-ouvido-pajen-daminha-casamento-convite-pajen.jpg
Fone de Ouvido Personalizado Unicórnio na Caixinha,12.50,Fones de Ouvido,Fone de ouvido personalizado temático Unicórnio embalado em caixinha. Mágico e único.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4635DD7/fone-de-ouvido-personalizado-unicornio-na-caixinha-fone-adulto.jpg
Headphone Fone de Ouvido Harry Potter com Caixa,25.60,Headphones,Headphone over-ear temático Harry Potter com caixa personalizada. Para os fãs do bruxo mais famoso do mundo.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/3EB7647/headphone-fone-de-ouvido-harry-potter-com-caixa-fone-grande-temas.jpg
Headphone Fone de Ouvido Sonic com Caixa,25.50,Headphones,Headphone over-ear temático Sonic com caixa personalizada. Para os fãs do ouriço mais veloz do mundo.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/3EC9836/headphone-fone-de-ouvido-sonic-com-caixa-personalizado-sonic.jpg
Headphone Fone de Ouvido Unicórnio com Caixa,25.60,Headphones,Headphone over-ear temático Unicórnio com caixa personalizada. Mágico e encantador.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/3EC8DC7/headphone-fone-de-ouvido-unicornio-com-caixa-personalizados-unicornio.jpg
Headphone Fone de Ouvido Videogame com Caixa,25.50,Headphones,Headphone over-ear temático Videogame com caixa personalizada. Para os amantes de games.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/55DA6C5/headphone-fone-de-ouvido-videogame-com-caixa-festa-sonic.jpg
Headphone Fone de Ouvido Universo com Caixa,25.50,Headphones,Headphone over-ear temático Universo com caixa personalizada. Para os exploradores do espaço.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/4D7CE9B/headphone-fone-de-ouvido-universo-com-caixa-fone-personalizado.jpg
Headphone Fone de Ouvido Authentic Game com Caixa,25.50,Headphones,Headphone over-ear temático Authentic Game com caixa personalizada. Para os gamers.,Nome ou mensagem,50,🎧,https://img.elo7.com.br/product/main/3EC988B/headphone-fone-de-ouvido-authentic-game-com-caixa-lembrancinha-authentic-games.jpg
Kit Personalizado Presente Dia dos Professores,27.80,Kits,Kit personalizado especial para o Dia dos Professores. Conjunto completo com itens personalizados para presentear professores.,Nome do professor,30,🎁,https://img.elo7.com.br/product/main/443A55C/kit-personalizado-presente-dia-dos-professores-kit-dia-dos-professores.jpg
Convite Digital Astronauta Viagem ao Espaço,16.50,Convites Digitais,Convite digital interativo temático Astronauta Viagem ao Espaço. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F12487/convite-digital-astronauta-viagem-ao-espaco-festa-viagem-espacial.jpg
Convite Digital Pool Party Menina,16.50,Convites Digitais,Convite digital interativo temático Pool Party para meninas. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E42B/convite-digital-pool-party-menina.jpg
Convite Digital Safari Menina,16.50,Convites Digitais,Convite digital interativo temático Safari para meninas. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E431/convite-digital-safari-menina.jpg
Convite Digital Circo Rosa Menina,16.50,Convites Digitais,Convite digital interativo temático Circo Rosa para meninas. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F26A65/convite-digital-circo-rosa-menina-convite-de-celular.jpg
Convite Digital Piquenique Menina,16.50,Convites Digitais,Convite digital interativo temático Piquenique para meninas. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F170E6/convite-digital-piquenique-menina-convite-online.jpg
Convite Digital Aventura Safari Menino,16.50,Convites Digitais,Convite digital interativo temático Aventura Safari para meninos. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F127A6/convite-digital-aventura-safari-menino-convite-interativo.jpg
Convite Digital Obras e Tratores Caminhão,16.50,Convites Digitais,Convite digital interativo temático Obras e Tratores para meninos. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E442/convite-digital-obras-e-tratores-caminhao-menino-obras-e-tratores.jpg
Convite Digital 3 Palavrinhas,16.50,Convites Digitais,Convite digital interativo temático 3 Palavrinhas. Enviado por WhatsApp ou e-mail em até 2 dias úteis.,Nome e data do evento,999,✉️,https://img.elo7.com.br/product/main/3F0E432/convite-digital-3-palavrinhas.jpg
